filename;final_bounding_area;runtime
LBMA_0.txt;98;0
LBMA_1.txt;78;0
LBMA_2.txt;252;0
LBMA_3.txt;253;0
LBMA_4.txt;175;0
LBMA_7.txt;180;0
LBMA_8.txt;240;0
LBMA_11.txt;299;0
LBMA_13.txt;112;0
LBMA_14.txt;126;0
LBMA_16.txt;136;0
LBMA_19.txt;275;0
LBMA_20.txt;100;0
LBMA_21.txt;70;0
LBMA_22.txt;288;0
LBMA_23.txt;85;0
LBMA_24.txt;140;0
LBMA_25.txt;75;0
LBMA_26.txt;266;0
LBMA_28.txt;75;0
LBMA_30.txt;52;0
LBMA_32.txt;168;0
LBMA_33.txt;96;0
LBMA_34.txt;168;0
LBMA_36.txt;105;0
LBMA_37.txt;114;0
LBMA_38.txt;207;0
LBMA_39.txt;36;0
LBMA_40.txt;128;0
LBMA_41.txt;275;0
LBMA_42.txt;90;0
LBMA_43.txt;51;0
LBMA_44.txt;65;0
LBMA_45.txt;299;0
LBMA_46.txt;112;0
LBMA_47.txt;75;0
LBMA_49.txt;216;0
LBMA_51.txt;225;0
LBMA_53.txt;184;0
LBMA_54.txt;135;0
LBMA_56.txt;90;0
LBMA_58.txt;220;0
LBMA_59.txt;45;0
